,OKGETULSALD2_4,WAUECBSCHALLD1_UGPM_BEPM,CSWSGILLIAMLDLD01,NPPDNORFK_NLDBRPS_LOAD2,CSWSKNOXLEEUN3,SECIPRATT1LDPRATT_CITY,WAUEWATERPPLDLD6_UGPM_MRES,SPSDUVAL_2LD1,WFECRNGWOODLD2,WAUEWAUE_OTPLDLAKPRESTON_ERC
0,69.0487,103.43500000000003,74.3462,103.50580000000001,69.90320000000001,65.36640000000001,98.57630000000002,55.48360000000001,70.07700000000001,97.67930000000001
1,68.07459514640193,102.52184646270769,73.02042137917832,102.83629879541877,68.52100784386148,64.88352578594903,97.65622801916757,58.93822093360968,69.36148484163395,96.74827157550185
2,66.96834088160222,100.33663524309449,71.60647979048952,100.77279862333575,67.11107860727026,64.00567411251316,95.59848916476295,60.43225606698247,68.37395946186739,94.70615680057352
3,65.77184117600139,97.13890640193404,70.15094830655596,97.59729913958485,65.70661006704391,62.82123538282073,92.63940572797685,60.33751316686405,67.17947935116713,91.78376362535846
4,64.52699999999999,93.1882,68.70040000000002,93.59180000000002,64.34080000000002,61.418600000000005,89.01530000000001,59.0258,65.84310000000002,88.21190000000001
5,63.275721323998624,88.74405609806595,67.30140794344409,89.0383008604152,63.04684618295611,59.88615836717929,84.96249427202319,56.86892433313596,64.42987689883292,84.22137387464159
6,62.05990911839779,84.06601475690553,66.00054520951052,84.21880137666432,61.857946392729765,58.31230088748685,80.7173108352371,54.23869393301753,63.00486553813265,80.0429931994265
7,60.921467353598075,79.41361603729234,64.84438487082171,79.41530120458128,60.80729840613856,56.785417964051,76.51607198083246,51.506916566390345,61.63312140836607,75.9075659244982
8,59.9023,75.0464,63.87950000000001,74.90980000000002,59.92809999999999,55.39390000000001,72.5951,49.04540000000001,60.379700000000014,72.04590000000002
9,59.0264398701036,71.16723695752857,63.12476559704542,70.92271182542054,59.230093361814134,54.20026730783388,69.13664958023975,47.13583954634653,59.28967943803447,68.63619073843196
10,58.24643514480663,67.75231822928349,62.48826437146845,67.42810837000714,58.629198321810705,53.163559837539474,66.10670499428875,45.69948070094743,58.3282283856021,65.64618290172054
11,57.49696284710635,64.72116538639666,61.850380960157274,64.33847572959017,58.017879120901924,52.21694744847533,63.41718291119337,44.56745650507462,57.44053814036869,62.991008614148846
12,56.712699999999984,61.99329999999999,61.091499999999996,61.5663,57.288599999999995,51.29359999999999,60.97999999999999,43.5709,56.57180000000001,60.5858
13,55.850777008086965,59.51167888431984,60.13321091837425,59.047722150402706,56.372711619787346,50.34446927648519,58.73341053201785,42.56910341897795,55.68190691152923,58.37100535913062
14,54.95813780237561,57.31299982596057,59.06192230461563,56.8135026433072,55.35711032002738,49.39163476235525,56.7210191876079,41.53399576319276,54.78955841945896,56.38833769369138
15,54.10417969547644,55.457395854621,58.00524753854918,54.918056814558085,54.367578860253715,48.474957867047685,55.012768249394,40.465665225811186,53.92815571765922,54.70482618140643
16,53.3583,54.004999999999995,57.0908,53.41579999999998,53.5299,47.6343,53.6786,39.3642,53.13109999999999,53.38749999999999
17,52.7463599100485,52.99607250519201,56.39008447945756,52.34392457296861,52.91554609653646,46.87776652372536,52.76336610418885,38.22677177774164,52.401311665848645,52.47987376254554
18,52.12007614569089,52.39138246687418,55.75017141006904,51.67073105676405,52.378747898079766,46.086438613039526,52.21155575527965,37.03888624628149,51.619787936562034,51.93140382351393
19,51.28762930848783,52.13182619511925,54.96202263564599,51.34729701217745,51.719425750583184,45.10964139583393,51.942567528730635,35.78313259168059,50.63704523899441,51.668031972725345
20,50.05719999999997,52.15829999999998,53.81659999999999,51.324699999999986,50.73749999999999,43.79669999999999,51.87579999999999,34.44209999999999,49.303599999999996,51.61569999999997
21,48.33822866421901,52.38273265741202,52.207657413795445,51.525117057722746,49.32773836906677,42.093483378613364,51.916367238726764,33.0670829075554,47.56202611257616,51.682891778187134
22,46.44519511486077,52.60118280654261,50.44011705510818,51.75512312963653,47.76429808765351,40.332035785486624,51.912245291273464,31.984196751681193,45.723127334292855,51.70825951225279
23,44.79383900807215,52.580741552401896,48.92169316886681,51.79239263673205,46.416183762413475,38.94094529961657,51.697125698183434,31.58826221996638,44.18976488886312,51.51299749019205
24,43.79990000000001,52.088500000000025,48.06009999999999,51.4146,45.6524,38.348800000000004,51.10470000000001,32.2741,43.36480000000002,50.91830000000001
25,43.741139495575396,50.975423427659855,48.12392492786058,50.47733375864032,45.71642073969642,38.825398399321145,50.02908525340406,34.250638779536686,43.50940888384669,49.81052787470583
26,44.34340589486598,49.42797380695534,48.82524786949821,49.14783892468978,46.3495972513062,40.00538074501394,48.60610057962648,36.983239246993676,44.31802772626657,48.33670812747486
27,45.19456934672357,47.716487282773166,49.737021876386734,47.671274628394336,47.167750137262885,41.36459771819977,47.03199061603566,39.75137009095383,45.343407705553176,46.709034316506454
28,45.88249999999999,46.111299999999986,50.43220000000001,46.2928,47.786699999999996,42.3789,45.503,41.8345,46.1383,45.13969999999999
29,46.100368040979404,44.83665331944857,50.59232256226222,45.21451509521596,47.92034273464756,42.66847614910205,44.19000581015701,42.71687916179783,46.374296164537114,43.811017035489535
30,45.9625438056753,43.932409465636006,50.333278966898995,44.466283671604366,47.67487540712169,42.43086623445759,43.162414890220646,42.701883760344074,46.198349260640875,42.7857704778478
31,45.68869766753356,43.39233587900542,49.87954588808627,44.034910412190584,47.25457037603497,42.00794820258434,42.464266525173954,42.297671478718286,45.8762527264242,42.096863681282166
