time,num_0,CPU_usage_0,RAM_usage_0,num_1,CPU_usage_1,RAM_usage_1,num_2,CPU_usage_2,RAM_usage_2,CPU,RAM,total power(kwh)
41,27220,0.099264156,0.054723253,4485,0.018889053,0.010723887,2058,0.011133224,0.008989506,0.129286434,0.074436646,3313.226884
42,17768,0.045211654,0.026612262,7752,0.019690905,0.011716918,3794,0.014802161,0.011727957,0.07970472,0.050057137,3169.377316
43,11924,0.02924513,0.022619143,2598,0.00972735,0.003625909,1281,0.005945974,0.004410925,0.044918454,0.030655976,3068.453226
44,19516,0.051610679,0.022980235,7929,0.038278893,0.032478505,1027,0.004653413,0.003958761,0.094542985,0.059417501,3212.427017
45,4831,0.008234747,0.006141042,6393,0.020254407,0.005378004,798,0.004159443,0.002847186,0.032648598,0.014366233,3032.855152
46,13065,0.024497751,0.01535323,2409,0.010497606,0.003348821,1224,0.005861851,0.003861675,0.040857207,0.022563726,3056.670483
47,15052,0.052310705,0.027791712,3630,0.012938998,0.003548739,1271,0.005846308,0.003600153,0.071096011,0.034940604,3144.401191
48,15394,0.042694608,0.017068996,17856,0.074513454,0.0469887,747,0.003862757,0.002940543,0.12107082,0.06699824,3289.39123
49,10006,0.012485606,0.010062279,4323,0.009268879,0.004736737,964,0.004170299,0.003619342,0.025924784,0.018418358,3013.347602
50,15585,0.033208901,0.019986303,11550,0.028352236,0.014687628,876,0.003996129,0.002819872,0.065557265,0.037493803,3128.331836
51,13672,0.019496623,0.031810646,10434,0.040370244,0.024687653,1325,0.006102627,0.003555378,0.065969494,0.060053677,3129.527819
52,11663,0.022709926,0.027359172,10917,0.046109076,0.023506398,1365,0.006720895,0.003743407,0.075539897,0.054608977,3157.29407
53,9441,0.016478359,0.010449534,15347,0.053126313,0.024401825,1000,0.004921326,0.003399274,0.074525998,0.038250633,3154.352482
54,8021,0.015593762,0.016466399,4896,0.025195262,0.018118027,1039,0.005104764,0.00375892,0.045893787,0.038343346,3071.282924
55,18952,0.049505349,0.094850569,9154,0.040297786,0.044099881,1032,0.005183305,0.003735152,0.094986439,0.142685602,3213.713595
56,8155,0.01608054,0.015299141,4217,0.011789826,0.017451115,669,0.003150247,0.002893913,0.031020613,0.035644169,3028.131942
57,43967,0.119153062,0.183119658,29688,0.102142435,0.114129553,869,0.004087149,0.003711952,0.225382646,0.300961163,3592.02722
58,10911,0.024816559,0.021343121,14651,0.027828884,0.050077642,865,0.004392107,0.003108658,0.057037549,0.074529422,3103.613903
59,25176,0.08892304,0.055130244,14856,0.03744786,0.063852266,1046,0.004724999,0.003041593,0.1310959,0.122024104,3318.476618
60,13367,0.031162853,0.021984714,14050,0.028200395,0.063615984,1608,0.008207483,0.00492819,0.06757073,0.090528889,3134.173426
61,10279,0.025664478,0.043736915,21179,0.054769097,0.069589538,876,0.004192019,0.002880005,0.084625593,0.116206458,3183.654059
62,18855,0.060272241,0.055034964,21278,0.056036991,0.070773814,1131,0.005347623,0.003552649,0.121656855,0.129361427,3291.091472
63,21951,0.066533183,0.03437468,7743,0.025168068,0.012337835,1227,0.006922973,0.003781968,0.098624224,0.050494483,3224.267764
64,10368,0.030869377,0.019897883,15241,0.027432273,0.03278605,1308,0.008798282,0.00567878,0.067099932,0.058362713,3132.807515
65,36808,0.140162439,0.098679918,22165,0.054324207,0.072750154,50096,0.28537151,0.32046942,0.479858156,0.491899492,4330.327473
66,11947,0.032270566,0.022699903,12170,0.021512223,0.017965639,60034,0.342846707,0.386038902,0.396629496,0.426704445,4088.859282
67,19793,0.057149517,0.040071459,9523,0.016731918,0.009287459,60152,0.343729866,0.385426539,0.417611301,0.434785458,4149.733008
68,29181,0.102408419,0.09037492,14715,0.04014855,0.029069078,56376,0.321682043,0.362459342,0.464239012,0.48190334,4285.012235
69,32212,0.096359008,0.108680697,23117,0.09011109,0.056523683,63849,0.366930885,0.413470577,0.553400984,0.578674957,4543.694522
70,18208,0.040092528,0.060866276,9742,0.032391032,0.024039309,42243,0.241301272,0.270350816,0.313784832,0.355256401,3848.505165
71,26243,0.092125886,0.082909342,31323,0.110907578,0.095997524,1126,0.005073528,0.002975568,0.208106992,0.181882433,3541.906013
72,27369,0.115749423,0.082162451,29716,0.126287764,0.09141804,1060,0.006140105,0.004896445,0.248177292,0.178476936,3658.160471
73,19450,0.076181482,0.079694067,39563,0.183876741,0.1160403,1060,0.006057784,0.00461444,0.266116006,0.200348807,3710.205389
74,59408,0.205918563,0.165006636,66641,0.210956637,0.188044799,1106,0.00500242,0.003113786,0.421877621,0.356165222,4162.11072
75,53085,0.14972114,0.188994014,38859,0.126835936,0.124738674,1074,0.004661898,0.003642919,0.281218974,0.317375607,3754.023063
76,24092,0.075054991,0.081985802,54079,0.17197632,0.177877547,7794,0.051126691,0.085447295,0.298158002,0.345310643,3803.167631
77,15125,0.019508757,0.033572634,49259,0.154377544,0.123238206,851,0.004030142,0.003725149,0.177916443,0.160535989,3454.315304
78,9104,0.021574319,0.025573114,55707,0.182876824,0.165582183,1171,0.00473568,0.003341948,0.209186823,0.194497245,3545.038886
79,15016,0.058647164,0.03704865,54794,0.169094419,0.143277657,1352,0.006635326,0.004842866,0.234376909,0.185169173,3618.121936
80,7239,0.013604463,0.008273939,45153,0.155003431,0.134948223,965,0.004092285,0.003015127,0.172700179,0.146237289,3439.181553
81,15182,0.028847022,0.028195946,50763,0.199924948,0.152737256,1116,0.004843185,0.00405724,0.233615155,0.184990442,3615.91189
82,3945,0.007375703,0.006013841,31717,0.111845216,0.078188544,1478,0.006343318,0.004169099,0.125564237,0.088371484,3302.427811
83,16886,0.021308366,0.03015429,29060,0.109733113,0.082641752,2101,0.00978209,0.008909751,0.140823569,0.121705793,3346.699141
84,7104,0.015310621,0.010735662,28141,0.115272771,0.076415361,3826,0.018734436,0.023494892,0.149317827,0.110645914,3371.343212
85,5118,0.009622007,0.008045445,30068,0.110535079,0.070174008,1218,0.005213378,0.005970017,0.125370465,0.08418947,3301.865627
86,4055,0.007197967,0.006860864,19577,0.089018637,0.047607692,851,0.003503002,0.002059227,0.099719606,0.056527783,3227.445754
87,3666,0.006397548,0.005037437,23994,0.090294636,0.050415441,1379,0.004649297,0.003090082,0.101341482,0.05854296,3232.15124
88,4394,0.007806016,0.005906849,23372,0.089765053,0.056038348,1250,0.004376414,0.003090804,0.101947483,0.065036001,3233.90941
89,6815,0.013468888,0.011222679,17922,0.06101447,0.049297311,639,0.002351425,0.001906472,0.076834783,0.062426461,3161.050875
90,4989,0.009311579,0.006696178,49508,0.094456271,0.080283855,973,0.00375784,0.002320929,0.10752569,0.089300963,3250.093252
91,5355,0.011271222,0.007228189,20207,0.068096986,0.034768862,946,0.003626057,0.002360934,0.082994266,0.044357986,3178.921151
92,13503,0.022991143,0.026303688,26061,0.059985511,0.055692736,785,0.002834158,0.001789217,0.085810812,0.08378564,3187.092691
93,22280,0.03747172,0.046748182,40558,0.131544098,0.094757601,895,0.003225187,0.002552179,0.172241005,0.144057962,3437.849369
94,16232,0.024374253,0.030416786,30190,0.114378934,0.073458816,958,0.003687758,0.002655474,0.142440945,0.106531077,3351.391572
95,13472,0.028160252,0.022382219,42542,0.108710252,0.061894066,817,0.003277741,0.002047471,0.140148245,0.086323757,3344.739848
