time,num_0,CPU_usage_0,RAM_usage_0,num_1,CPU_usage_1,RAM_usage_1,num_2,CPU_usage_2,RAM_usage_2,CPU,RAM,total power(kwh)
0,10501,0.031711128,0.018961414,15343,0.058960749,0.023820895,539,0.002105417,0.001495113,0.092777294,0.044277422,3207.304285
1,4189,0.008032333,0.005859717,8345,0.019920908,0.0087837,835,0.002149095,0.001549332,0.030102337,0.01619275,3025.467781
2,8715,0.019173313,0.017783445,11223,0.034433086,0.016550803,651,0.002732653,0.0016496,0.056339052,0.035983848,3101.587379
3,7825,0.0130554,0.011805829,18702,0.081818691,0.029111541,747,0.002239914,0.001187385,0.097114005,0.042104755,3219.886222
4,14549,0.033045579,0.055660957,10705,0.01630664,0.014675305,655,0.003290511,0.002308204,0.05264273,0.072644466,3090.86338
5,12596,0.033893246,0.016879597,13200,0.0433053,0.020579463,357,0.001204497,0.000685058,0.078403043,0.038144118,3165.600809
6,7824,0.011151764,0.011830624,5678,0.013229796,0.010217177,487,0.001979731,0.000776426,0.02636129,0.022824228,3014.614022
7,12783,0.025424265,0.021928457,4568,0.027032612,0.010269536,436,0.00188159,0.000790754,0.054338466,0.032988746,3095.783155
8,9039,0.026745623,0.015496109,10671,0.076377475,0.018553261,349,0.001035467,0.000383304,0.104158565,0.034432674,3240.324338
9,25027,0.088325899,0.057491274,4010,0.005083016,0.016026797,1492,0.001599264,0.002078564,0.095008179,0.075596635,3213.776666
10,7797,0.010673161,0.014893435,13236,0.032703357,0.020049443,835,0.002026829,0.003075328,0.045403348,0.038018205,3069.860031
11,24984,0.061267363,0.05422751,31731,0.135215314,0.272877738,715,0.002004884,0.002637443,0.19848756,0.329742692,3513.997514
12,16084,0.044044205,0.032501969,5895,0.033573165,0.014053574,545,0.001135974,0.001999033,0.078753345,0.048554575,3166.617126
13,6797,0.014889195,0.011510165,6762,0.025312481,0.011459319,488,0.001071568,0.001458985,0.041273244,0.024428469,3057.877514
14,7058,0.020183779,0.014815063,7007,0.015482624,0.017708631,409,0.001618142,0.000574762,0.037284544,0.033098456,3046.30525
15,38485,0.107214706,0.089736013,26741,0.094603469,0.056125778,539,0.00198392,0.000844994,0.203802095,0.146706786,3529.416375
16,13031,0.049231611,0.030823023,14270,0.040764912,0.029041165,293,0.000934408,0.000512233,0.090930931,0.060376421,3201.947501
17,12570,0.036642604,0.067075839,5732,0.020574798,0.010435291,633,0.002015249,0.001165012,0.059232651,0.078676143,3109.98247
18,10216,0.03142823,0.043544064,8616,0.030899884,0.012931841,515,0.001800051,0.000662029,0.064128164,0.057137935,3124.185638
19,7318,0.013340133,0.012316871,6766,0.020431431,0.010318871,675,0.003947882,0.001005365,0.037719445,0.023641106,3047.567013
20,9788,0.020612905,0.028726059,2392,0.008057739,0.004699425,913,0.004939142,0.001213199,0.033609785,0.034638684,3035.64381
21,46861,0.123748218,0.098185071,31019,0.111254627,0.081011148,610,0.005568524,0.001459731,0.240571369,0.18065595,3636.093692
22,25194,0.055489936,0.039863011,4164,0.010188031,0.00594537,755,0.003739513,0.001153398,0.06941748,0.04696178,3139.531331
23,30317,0.065559217,0.046314707,12989,0.05972274,0.029308126,692,0.003386817,0.001116428,0.128668774,0.076739261,3311.434889
24,10512,0.0200758,0.016114787,4014,0.015581913,0.011315257,589,0.003340364,0.000955222,0.038998076,0.028385266,3051.276657
25,25204,0.060692939,0.044857239,9111,0.055732834,0.02739975,472,0.002849643,0.001492101,0.119275416,0.07374909,3284.182291
26,32785,0.083264188,0.061984658,10998,0.026614776,0.022214264,1299,0.006714901,0.003605824,0.116593865,0.087804746,3276.402408
27,10031,0.01982638,0.014133821,3436,0.011661614,0.010732307,556,0.002153479,0.000843178,0.033641473,0.025709306,3035.735744
