time,num_0,CPU_usage_0,RAM_usage_0,num_1,CPU_usage_1,RAM_usage_1,num_2,CPU_usage_2,RAM_usage_2,CPU,RAM,total power(kwh)
0,9348,0.022681257,0.021336184,44375,0.141452405,0.078218289,11714,0.034887075,0.021559881,0.199020737,0.121114354,3515.544401
1,20624,0.05043789,0.052391309,39876,0.203867334,0.246825395,16678,0.052431159,0.025031582,0.306736383,0.324248286,3828.055766
2,14273,0.034243617,0.037893032,20176,0.083205574,0.055354329,1303,0.004847517,0.001747081,0.122296708,0.094994442,3292.947853
3,4658,0.008932616,0.007819217,17924,0.078858299,0.03913693,623,0.002651132,0.001197626,0.090442048,0.048153774,3200.529121
4,7416,0.015620363,0.017290839,22078,0.093419551,0.051271589,684,0.002789054,0.001047738,0.111828968,0.069610166,3262.57819
5,12330,0.020824058,0.050208727,26298,0.073848964,0.04362788,378,0.001296387,0.000769061,0.095969409,0.094605668,3216.565448
6,7428,0.01860377,0.010836659,30300,0.097645923,0.055318306,616,0.002294336,0.000835054,0.11854403,0.066990019,3282.060348
7,19714,0.029439124,0.095041135,26940,0.072918628,0.041698156,1481,0.004416814,0.002596945,0.106774566,0.139336236,3247.914045
8,7981,0.01636909,0.0253694,36436,0.125770212,0.173622111,750,0.00165219,0.001062384,0.143791492,0.200053895,3355.309864
9,15080,0.019178812,0.033909698,12103,0.053507866,0.030902632,447,0.001603953,0.001138137,0.07429063,0.065950467,3153.669619
10,6017,0.014087287,0.009180709,37647,0.080211371,0.057466393,1140,0.003880675,0.001755776,0.098179334,0.068402877,3222.977019
11,11057,0.028886108,0.019499419,33118,0.099773158,0.049200005,477,0.001919631,0.000835465,0.130578897,0.069534889,3316.976657
12,9570,0.021589492,0.019341604,19292,0.073959645,0.046343074,435,0.001728914,0.001016246,0.097278051,0.066700924,3220.362162
13,8735,0.016283178,0.020331943,12265,0.057028018,0.028357893,353,0.001294686,0.000738133,0.074605882,0.049427969,3154.584248
14,6012,0.013465481,0.010369377,11964,0.060737512,0.026248551,367,0.001621824,0.000861131,0.075824817,0.037479059,3158.120697
15,3887,0.006847074,0.005511197,4972,0.013372267,0.006690902,370,0.001575063,0.000890147,0.021794405,0.013092247,3001.36429
16,18241,0.024872943,0.041847737,9748,0.01746922,0.011219346,417,0.001870456,0.001431528,0.04421262,0.054498612,3066.405416
17,15532,0.022760954,0.027961456,6799,0.016081068,0.011285834,362,0.001307145,0.000873487,0.040149167,0.040120776,3054.616272
18,31723,0.037887414,0.062209185,4032,0.007466128,0.011411301,609,0.002159137,0.001894067,0.047512679,0.075514553,3075.979754
19,11313,0.017358022,0.018919991,12299,0.027433545,0.030781364,390,0.001405376,0.000877631,0.046196943,0.050578986,3072.162459
20,12171,0.023465516,0.018551044,24434,0.09481968,0.047921536,393,0.001474519,0.000923022,0.119759715,0.067395602,3285.58737
21,12679,0.01711682,0.014342813,7332,0.026833261,0.012769675,383,0.00162475,0.001350433,0.045574831,0.028462921,3070.357549
22,39441,0.058089032,0.072692107,26556,0.085046943,0.061877309,882,0.005075919,0.003667021,0.148211894,0.138236437,3368.134611
23,20379,0.049307356,0.028817595,11024,0.045747634,0.048561788,368,0.00165734,0.001320419,0.09671233,0.078699802,3218.720856
24,49141,0.087596873,0.120313776,10755,0.046395624,0.028701575,364,0.001373936,0.00100874,0.135366433,0.150024091,3330.866556
25,26317,0.076090135,0.042882441,24330,0.086696285,0.052433962,308,0.00140423,0.000840432,0.16419065,0.096156836,3414.493177
26,25474,0.051387107,0.050404811,21717,0.066631424,0.067141694,599,0.003258106,0.002132848,0.121276637,0.119679352,3289.988359
27,21423,0.0297341,0.03181284,12369,0.025700838,0.032862076,318,0.001406508,0.000759966,0.056841446,0.065434882,3103.044957
28,17025,0.041031146,0.02242508,20070,0.032752263,0.032544107,889,0.004882281,0.003191256,0.07866569,0.058160444,3166.362815
29,12060,0.029863198,0.017516783,21173,0.068186551,0.063177603,1072,0.006535105,0.004666884,0.104584853,0.08536127,3241.561112
30,8352,0.020302413,0.011472352,23702,0.070320289,0.07712519,337,0.001227153,0.000781476,0.091849855,0.089379018,3204.61354
31,18753,0.059110077,0.03168455,29711,0.087035542,0.10492423,466,0.001630694,0.001177128,0.147776313,0.137785909,3366.870877
32,31440,0.107791036,0.063723504,23575,0.087379998,0.053156571,413,0.0018409,0.001441612,0.197011933,0.118321686,3509.716334
33,18041,0.05951894,0.036484358,17088,0.058473815,0.038597146,452,0.001475575,0.000943912,0.119468331,0.076025417,3284.741988
34,6745,0.016198904,0.009015466,15505,0.048836805,0.025657075,533,0.001936844,0.001136433,0.066972552,0.035808975,3132.437955
35,9852,0.024172031,0.012772027,11725,0.027273055,0.015326276,503,0.001726237,0.001415769,0.053171323,0.029514072,3092.396966
36,13071,0.043726884,0.023133673,10205,0.015592742,0.009336447,1357,0.007594896,0.006149306,0.066914522,0.038619426,3132.269593
37,14054,0.06594482,0.033323288,7445,0.015490865,0.007377916,492,0.001904337,0.001556157,0.083340022,0.042257361,3179.924281
38,8730,0.015942546,0.027040625,3837,0.007546194,0.003039699,532,0.002290484,0.000968194,0.025779223,0.031048518,3012.925293
39,7789,0.01389229,0.01495269,2675,0.007094004,0.00248669,393,0.001578748,0.000581112,0.022565043,0.018020492,3003.600112
40,7820,0.020134171,0.012298793,8777,0.029784091,0.02348674,1134,0.003366575,0.001299831,0.053284837,0.037085363,3092.7263
41,6117,0.012395276,0.007631294,8153,0.024437802,0.0241947,612,0.00251171,0.001446477,0.039344788,0.033272471,3052.282557
42,18525,0.021310212,0.023471671,12166,0.014414602,0.013059781,1181,0.00551595,0.002410007,0.041240764,0.038941459,3057.783281
43,8217,0.016337141,0.011271029,5133,0.006755625,0.007900834,681,0.002771676,0.001159438,0.025864442,0.020331301,3013.172534
44,13620,0.017764807,0.021409797,2563,0.005923152,0.00226149,721,0.003020063,0.001198265,0.026708022,0.024869552,3015.619984
45,9125,0.015354014,0.020273588,7783,0.026524603,0.016450449,803,0.00340769,0.001142106,0.045286308,0.037866142,3069.520467
46,19563,0.050019601,0.053744276,15267,0.082815508,0.154840956,590,0.002769491,0.00116865,0.1356046,0.209753881,3331.557541
47,16416,0.043265725,0.028222564,9926,0.035017057,0.01458184,887,0.003862999,0.001228646,0.082145781,0.04403305,3176.459474
48,56699,0.15206239,0.117045318,30560,0.106211,0.094325369,491,0.002052303,0.001279134,0.260325693,0.212649822,3693.406171
49,31298,0.05422386,0.070698161,8835,0.028908812,0.022301087,4624,0.015389558,0.005823824,0.09852223,0.098823072,3223.971851
50,22728,0.02544321,0.032498735,14568,0.04262333,0.043617327,849,0.00330058,0.001615124,0.07136712,0.077731186,3145.187749
51,20276,0.040562946,0.048319126,7160,0.037751502,0.024173995,1675,0.005586934,0.002491731,0.083901382,0.074984853,3181.552935
52,14565,0.030255246,0.03297136,26113,0.125652382,0.28906658,749,0.003084715,0.001684601,0.158992343,0.323722541,3399.411523
53,7580,0.013163209,0.017250106,24827,0.066398713,0.049998118,661,0.002956864,0.001461552,0.082518786,0.068709776,3177.54166
54,30199,0.056029685,0.109051841,9068,0.02943163,0.024429129,847,0.003744886,0.001850646,0.0892062,0.135331616,3196.943603
55,15119,0.030258507,0.05524341,11358,0.028828659,0.024572284,1195,0.007541138,0.005101287,0.066628303,0.084916982,3131.439196
56,7738,0.01647213,0.014639099,11183,0.029852082,0.020854396,4432,0.020215179,0.017065445,0.066539391,0.05255894,3131.181241
57,22009,0.0737184,0.084302361,7120,0.019212743,0.019338071,5289,0.014878741,0.013402881,0.107809884,0.117043314,3250.917772
58,16428,0.052051674,0.058144847,10443,0.016467187,0.029864491,3145,0.009175703,0.006928587,0.077694564,0.094937925,3163.545325
59,6899,0.011244578,0.011919827,11529,0.022769816,0.03545795,1083,0.004469714,0.001075927,0.038484108,0.048453703,3049.785499
60,18697,0.049735425,0.048159214,17024,0.038071131,0.021302082,671,0.002729311,0.001212923,0.090535867,0.070674219,3200.801315
61,7795,0.013877641,0.013435067,16065,0.037679151,0.019595979,640,0.002862228,0.001592723,0.05441902,0.034623769,3096.016863
62,11821,0.039129472,0.026746298,14846,0.036987137,0.024259256,761,0.003452159,0.001506856,0.079568769,0.05251241,3168.982885
63,12483,0.025253695,0.028814916,8001,0.030141303,0.014356582,1226,0.0055573,0.006424794,0.060952297,0.049596292,3114.971615
64,10221,0.025784536,0.019994451,7435,0.015461082,0.010126554,2280,0.010571853,0.014201954,0.051817471,0.044322959,3088.469085
65,7782,0.016230402,0.009865599,4001,0.010860963,0.006822367,696,0.002616659,0.000993613,0.029708024,0.017681579,3024.323777
66,21281,0.073891612,0.071329156,8099,0.034682022,0.010775161,1109,0.00445816,0.0021996,0.113031794,0.084303917,3266.067906
67,18760,0.076115698,0.085270319,6364,0.024395753,0.008465678,708,0.003328631,0.002558199,0.103840083,0.096294195,3239.400338
68,14365,0.048734115,0.04695863,4018,0.009986619,0.005826466,557,0.002476587,0.002221773,0.061197322,0.055006869,3115.682495
69,6838,0.011355465,0.010075398,8908,0.027047756,0.009171437,738,0.003666473,0.002025233,0.042069695,0.021272068,3060.188227
70,10842,0.062682817,0.029406591,3721,0.013896456,0.007462282,2172,0.005296611,0.002526786,0.081875883,0.03939566,3175.676428
71,6452,0.012863137,0.012174551,3934,0.016202541,0.007200526,725,0.00342261,0.00140075,0.032488287,0.020775827,3032.39005
72,16462,0.035607607,0.0309144,4675,0.016040436,0.009424277,1763,0.01453359,0.004958251,0.066181633,0.045296928,3130.14329
73,17830,0.024308368,0.021713651,2697,0.007635831,0.006063056,1005,0.001857583,0.001537184,0.033801781,0.029313892,3036.20084
74,30936,0.100312791,0.079437745,38409,0.088272869,0.117554283,850,0.003383284,0.001241565,0.191968944,0.198233593,3495.085298
75,23964,0.079941863,0.05460728,39097,0.153234523,0.281245905,598,0.00258204,0.001589394,0.235758425,0.337442579,3622.130079
76,20352,0.082955838,0.069155582,26540,0.072145197,0.110421394,1410,0.006672193,0.008218863,0.161773228,0.187795839,3407.479601
77,7832,0.015260494,0.01530038,31200,0.074805026,0.082685784,657,0.002466262,0.001715688,0.092531781,0.099701852,3206.591987
78,7647,0.01394218,0.019519117,10416,0.025656533,0.025497212,978,0.004680032,0.002459595,0.044278746,0.047475924,3066.597265
