time,num_0,CPU_usage_0,RAM_usage_0,num_1,CPU_usage_1,RAM_usage_1,num_2,CPU_usage_2,RAM_usage_2,CPU,RAM,total power(kwh)
79,8825,0.019064822,0.018192624,20030,0.043028785,0.066318988,875,0.004163263,0.002904769,0.06625687,0.087416381,3130.361574
80,9552,0.021012368,0.018452305,24826,0.053586516,0.057950568,472,0.002139523,0.001431435,0.076738408,0.077834308,3160.771264
81,15263,0.032921956,0.037624697,22915,0.076546818,0.058717109,789,0.003331225,0.001764952,0.112799999,0.098106758,3265.395406
82,13939,0.043073913,0.039332347,20906,0.095123749,0.065925634,1217,0.005807412,0.002787226,0.144005074,0.108045207,3355.92952
83,10478,0.020960556,0.024169831,20035,0.070721721,0.051638265,608,0.002420856,0.001587748,0.094103133,0.077395844,3211.150891
84,14044,0.027001433,0.032241308,24466,0.063259612,0.041059839,1692,0.005922567,0.003262525,0.096183611,0.076563672,3217.186904
85,17924,0.025693518,0.037923467,18074,0.043068933,0.026205492,2632,0.009498543,0.007739005,0.078260994,0.071867964,3165.188686
86,25872,0.038818739,0.052751646,5707,0.033710088,0.013842858,893,0.002837989,0.001544539,0.075366817,0.068139043,3156.791919
87,11439,0.027964159,0.0179394,8137,0.012909085,0.018323793,1307,0.00361725,0.001264835,0.044490494,0.037528028,3067.211602
88,19516,0.035665151,0.037804193,7936,0.020491872,0.013523023,1360,0.004510315,0.001818102,0.060667337,0.053145318,3114.14487
89,12288,0.018581255,0.020906269,29137,0.022359422,0.019114379,1244,0.00303042,0.001369803,0.043971097,0.04139045,3065.704696
90,7934,0.013316285,0.011918874,16419,0.025714713,0.035543289,1007,0.002555948,0.001351695,0.041586946,0.048813857,3058.787648
91,9207,0.018604965,0.013891702,42128,0.031241182,0.054682404,950,0.00408572,0.002744898,0.053931867,0.071319004,3094.603504
92,22199,0.036255808,0.042905136,32697,0.041802516,0.023968914,607,0.001970163,0.001046808,0.080028487,0.067920858,3170.316648
93,11269,0.020670657,0.017374469,21039,0.046806149,0.034891872,1382,0.00649122,0.008180483,0.073968026,0.060446824,3152.733661
94,13082,0.033448395,0.027919924,46360,0.107524889,0.068938591,811,0.002662135,0.001409693,0.143635418,0.098268208,3354.857053
95,10602,0.021114079,0.016905662,22296,0.048395792,0.053007757,1473,0.00717137,0.008280626,0.076681242,0.078194045,3160.605411
