,time,num_0,CPU_usage_0,RAM_usage_0,num_1,CPU_usage_1,RAM_usage_1,num_2,CPU_usage_2,RAM_usage_2,CPU,RAM
0,0,10501.0,0.03171112789999826,0.01896141409999971,15343.0,0.05896074941666644,0.023820894830830792,539.0,0.0021054169999999935,0.001495112858333332,0.09277729431666469,0.04427742178916383
1,1,4189.0,0.008032333291666456,0.005859716989999823,8345.0,0.019920908499999276,0.00878370025000021,835.0,0.0021490951666666602,0.0015493323000000056,0.030102336958332393,0.01619274954000004
2,2,8715.0,0.01917331266666681,0.0177834448466686,11223.0,0.034433085958334844,0.016550802747499573,651.0,0.0027326533333333286,0.0016496003583333421,0.05633905195833499,0.035983847952501515
3,3,7825.0,0.013055400366666352,0.011805829081666247,18702.0,0.08181869099999614,0.029111540916665353,747.0,0.002239914083333339,0.0011873849500000113,0.09711400544999584,0.04210475494833161
4,4,14549.0,0.03304557944999839,0.05566095684833249,10705.0,0.016306639916666414,0.014675305414167797,655.0,0.0032905110583333268,0.0023082042166666728,0.05264273042499813,0.07264446647916696
5,5,12596.0,0.033893245858333344,0.016879597416668987,13200.0,0.043305300250003474,0.020579463000000756,357.0,0.0012044969999999986,0.0006850578166666648,0.0784030431083368,0.03814411823333642
6,6,7824.0,0.011151764083333364,0.011830623599999882,5678.0,0.013229795516666764,0.01021717749750034,487.0,0.001979730508333326,0.0007764264816666603,0.026361290108333452,0.022824227579166884
7,7,12783.0,0.025424264633331986,0.021928456683332972,4568.0,0.027032611858333718,0.010269535583333675,436.0,0.0018815898916666608,0.0007907539666666616,0.05433846638333237,0.03298874623333331
8,8,9039.0,0.026745623475001336,0.015496108916668189,10671.0,0.07637747458332314,0.018553261247501132,349.0,0.0010354666750000006,0.0003833035333333332,0.1041585647333245,0.03443267369750265
9,9,25027.0,0.08832589862501294,0.05749127426999223,4010.0,0.005083015666666676,0.01602679691666659,1492.0,0.0015992644333332844,0.002078563530000028,0.0950081787250129,0.07559663471665884
10,10,7797.0,0.010673161466667191,0.01489343495333533,13236.0,0.032703357458323506,0.020049442580836203,835.0,0.0020268289999999835,0.0030753276333333303,0.04540334792499068,0.038018205167504864
11,11,24984.0,0.061267362633343224,0.05422751049999415,31731.0,0.1352153135833343,0.2728777380834257,715.0,0.0020048835833333203,0.0026374432416666656,0.19848755980001087,0.32974269182508653
12,12,16084.0,0.04404420546666759,0.03250196896666665,5895.0,0.03357316483333339,0.014053573580833898,545.0,0.0011359743333333294,0.001999032599999996,0.0787533446333343,0.048554575147500535
13,13,6797.0,0.014889194825000455,0.011510164650000166,6762.0,0.025312481249999005,0.01145931866666682,488.0,0.0010715675833333344,0.0014589854833333277,0.04127324365833279,0.02442846880000031
