time,num_0,CPU_usage_0,RAM_usage_0,num_1,CPU_usage_1,RAM_usage_1,num_2,CPU_usage_2,RAM_usage_2,CPU,RAM,total power(kwh)
0,563301,0.651373569,0.77195504,30403,0.125782185,0.058031896,2634,0.003603209,0.002748648,0.780758964,0.832735584,5203.319702
1,540718,0.637441891,0.747593387,26991,0.153936184,0.065879993,480,0.001963928,0.00188634,0.793342003,0.81535972,5239.826404
2,300387,0.37131935,0.426501147,51627,0.154461395,0.080441173,622,0.002250444,0.000873082,0.528031189,0.507815402,4470.090089
3,430892,0.482498941,0.583389604,26904,0.115977878,0.055520716,1081,0.0057566,0.003428782,0.604233419,0.642339102,4691.17276
4,353356,0.400914265,0.481930462,48635,0.177909245,0.077608846,403,0.001650939,0.000829736,0.580474449,0.560369045,4622.24175
5,610004,0.6614095,0.821597711,29384,0.126877526,0.057470131,504,0.002087275,0.001340538,0.790374301,0.88040838,5231.216322
6,637176,0.690387449,0.857700618,25863,0.1026837,0.055961102,654,0.00276151,0.001622791,0.795832659,0.915284511,5247.052448
7,606001,0.668500537,0.815120016,44228,0.128030423,0.082264972,683,0.003082965,0.001657346,0.799613925,0.899042334,5258.022897
8,214721,0.351331139,0.339011019,40571,0.205109302,0.098418196,836,0.003586321,0.002337792,0.560026763,0.439767006,4562.917646
9,39186,0.148645161,0.106606895,73995,0.229169021,0.140437718,906,0.004888435,0.003485631,0.382702617,0.250530244,4048.453751
10,38007,0.162841115,0.104839562,40933,0.165955106,0.144125294,1380,0.006132719,0.004162625,0.33492894,0.253127482,3909.849773
11,34734,0.150473616,0.090966457,42640,0.190456247,0.177627298,569,0.002371296,0.001029747,0.343301159,0.269623501,3934.139778
12,28325,0.102587557,0.064757365,29228,0.162385315,0.08787604,413,0.001606628,0.001158023,0.266579499,0.153791428,3711.550105
13,22270,0.097475821,0.05349796,26597,0.129655098,0.07679121,311,0.001159019,0.000673948,0.228289937,0.130963117,3600.462035
14,24234,0.109501047,0.060105136,32897,0.165305447,0.096850023,427,0.001763876,0.000623312,0.27657037,0.157578472,3740.536242
15,19934,0.085240874,0.04765605,27218,0.14442124,0.080637425,984,0.00442169,0.000934016,0.234083804,0.129227491,3617.271563
16,60583,0.163682467,0.139371427,45346,0.178806913,0.111867792,3078,0.014719428,0.005662902,0.357208807,0.25690212,3974.489517
17,42764,0.144892452,0.112263569,33800,0.142706804,0.100636556,1549,0.007575371,0.001078464,0.295174627,0.213978588,3794.512075
18,27526,0.067234639,0.072918408,27554,0.110154411,0.075254493,1813,0.006345701,0.004689216,0.183734751,0.152862117,3471.195743
19,34530,0.09422112,0.077058418,35971,0.1711074,0.120176691,956,0.004023301,0.0014778,0.269351821,0.198712909,3719.593339
20,35343,0.134581327,0.08048838,32939,0.155111573,0.089175275,440,0.001547446,0.0007723,0.291240345,0.170435955,3783.097692
21,43886,0.191291361,0.135586319,62173,0.306313181,0.377570056,461,0.002036479,0.001414331,0.499641021,0.514570706,4387.722757
22,56105,0.239576844,0.16862518,34026,0.168847585,0.099583719,1423,0.00692044,0.004139795,0.41534487,0.272348694,4143.157496
23,27808,0.113270749,0.069980726,29425,0.163532889,0.08817367,475,0.001960865,0.000662475,0.278764502,0.158816871,3746.901997
24,37080,0.128255229,0.072774076,33178,0.179434892,0.095825681,595,0.003064822,0.001824651,0.310754943,0.170424409,3839.714664
25,35701,0.107033633,0.119900296,23180,0.118148837,0.063689313,410,0.001767217,0.000683358,0.226949687,0.184272966,3596.573617
26,29873,0.112132576,0.133926549,37083,0.149087506,0.097368507,1335,0.005749118,0.003356556,0.2669692,0.234651612,3712.680729
27,57049,0.231328113,0.191164486,33189,0.150624731,0.10114376,922,0.005195339,0.002727259,0.387148182,0.295035505,4061.351503
28,28627,0.100619875,0.079704298,40513,0.180976226,0.102023978,1489,0.008736702,0.00432358,0.290332802,0.186051856,3780.464671
29,17526,0.0556215,0.042093573,29685,0.13886032,0.077066259,971,0.006159714,0.003771741,0.200641533,0.122931574,3520.246757
30,54861,0.206214738,0.146140033,59979,0.268435332,0.266855965,653,0.002898128,0.001478734,0.477548199,0.414474732,4323.62568
31,36417,0.158184087,0.101912243,36266,0.147362324,0.080211702,691,0.003030676,0.001330524,0.308577087,0.183454469,3833.396131
32,50315,0.180878821,0.12803015,51851,0.226847993,0.129300903,483,0.002173893,0.000898849,0.409900707,0.258229902,4127.36255
33,41568,0.13306179,0.107718572,27847,0.131048333,0.07163442,590,0.002615768,0.001227529,0.266725891,0.180580521,3711.974826
34,48383,0.213052831,0.14597728,44002,0.176361571,0.09435924,974,0.006884271,0.003282657,0.396298674,0.243619177,4087.89948
35,28524,0.111549577,0.096535695,33943,0.153077261,0.07769448,1196,0.003975337,0.001304182,0.268602174,0.175534357,3717.418416
36,15256,0.055204707,0.056162406,21112,0.098648754,0.048454046,467,0.002195388,0.000964211,0.156048848,0.105580663,3390.871672
37,25638,0.093347092,0.071240335,23201,0.090090559,0.043539673,398,0.001609536,0.001034789,0.185047187,0.115814797,3475.003465
38,30689,0.113858045,0.090098862,31731,0.147374556,0.15321206,365,0.00171889,0.000797916,0.262951492,0.244108838,3701.024303
39,40286,0.146889657,0.126765276,21955,0.10477832,0.05712307,425,0.002153502,0.001515377,0.25382148,0.185403722,3674.535741
40,28136,0.092798449,0.066594464,19657,0.07117712,0.061649701,416,0.00171527,0.001240044,0.165690839,0.129484208,3418.845619
41,22775,0.068311286,0.04083503,13630,0.056893237,0.036442609,300,0.001180881,0.000748267,0.126385405,0.078025906,3304.810235
42,32402,0.1024872,0.063143817,36226,0.116001608,0.075627868,467,0.00213078,0.001206714,0.220619588,0.139978399,3578.208337
43,15277,0.048185525,0.03727476,28404,0.106966757,0.07383528,1574,0.007799633,0.005183074,0.162951914,0.116293114,3410.899279
44,19046,0.039591711,0.049762574,18709,0.073388273,0.045684169,1047,0.006747805,0.002372343,0.119727789,0.097819085,3285.494744
45,11177,0.027925838,0.025939444,16701,0.076998207,0.039666664,639,0.002667104,0.001067823,0.107591149,0.066673931,3250.283166
46,43343,0.139574805,0.086467377,20582,0.089707275,0.045723977,1086,0.004706764,0.001440175,0.233988844,0.133631529,3616.996058
47,30345,0.117568753,0.072620238,42012,0.203831349,0.292175482,1028,0.004535714,0.001524868,0.325935816,0.366320588,3883.75836
48,27623,0.094964935,0.058124688,18719,0.068641987,0.045415172,695,0.002858636,0.001016728,0.166465558,0.104556588,3421.093281
49,24012,0.085299018,0.047467324,14924,0.061093782,0.042183529,398,0.001578367,0.000866203,0.147971166,0.090517055,3367.436195
50,19371,0.071182413,0.043960984,15387,0.048359179,0.028266713,542,0.001882671,0.000758834,0.121424263,0.072986532,3290.416661
51,20319,0.06317537,0.042778083,10507,0.045422792,0.031343344,814,0.003229489,0.001278932,0.111827651,0.075400359,3262.574371
52,45011,0.138899126,0.101202863,36757,0.128759274,0.106434682,847,0.00354352,0.001226558,0.271201919,0.208864103,3724.960958
53,30584,0.104702534,0.062545317,22664,0.106507693,0.049823214,843,0.003731369,0.002067051,0.214941596,0.114435582,3561.734991
54,32497,0.100663934,0.067298899,27013,0.115844905,0.079127613,945,0.003799942,0.001380395,0.220308781,0.147806907,3577.306605
55,56655,0.203587645,0.140838819,34006,0.1411764,0.106883031,2218,0.020798003,0.010121965,0.365562048,0.257843815,3998.724461
56,39696,0.152554805,0.109410518,43442,0.205555933,0.334227517,570,0.002291657,0.001412415,0.360402396,0.445050449,3983.754956
57,20986,0.056045032,0.029455924,11014,0.043508813,0.042427806,574,0.002057879,0.000884185,0.101611724,0.072767915,3232.935285
58,25968,0.075882691,0.05231588,31804,0.055918418,0.075804479,759,0.002956908,0.001018107,0.134758018,0.129138466,3329.101383
59,26465,0.113753346,0.061979871,18926,0.074684386,0.061673148,1173,0.005096955,0.001476264,0.193534688,0.125129283,3499.627931
60,22417,0.099929586,0.047222589,30436,0.103585613,0.078435638,2775,0.012250135,0.003256591,0.215765334,0.128914818,3564.124872
61,26602,0.07667154,0.116717492,34266,0.107535767,0.093794728,662,0.002838531,0.001566918,0.187045838,0.212079138,3480.802074
62,16526,0.070529444,0.040404419,15778,0.049641334,0.027872355,723,0.002853268,0.00101608,0.123024046,0.069292854,3295.05805
63,16429,0.069176243,0.037887986,29275,0.088401191,0.048358926,754,0.003528127,0.001095629,0.161105561,0.087342541,3405.542523
64,15442,0.062496461,0.037554572,16006,0.05054569,0.034034323,907,0.004105709,0.001188864,0.11714786,0.072777759,3278.009694
65,14147,0.053464971,0.029700938,23386,0.084998914,0.051115866,873,0.004526708,0.001048118,0.142990592,0.081864922,3352.986244
66,19356,0.083546494,0.044432783,19114,0.059216206,0.02966918,1080,0.004545606,0.001813354,0.147308305,0.075915318,3365.513061
67,11832,0.034236633,0.023661092,10469,0.036326565,0.020342491,764,0.003031137,0.000969797,0.073594335,0.04497338,3151.649484
68,33136,0.146359268,0.075259659,26304,0.067041136,0.05008608,5631,0.027832967,0.019485193,0.241233371,0.144830932,3638.014334
69,14375,0.059655458,0.034352028,18409,0.071045666,0.040021354,1040,0.00390974,0.00167479,0.134610864,0.076048172,3328.674452
70,21006,0.089971479,0.059074583,20179,0.061964068,0.034831982,5288,0.028945316,0.026989814,0.180880862,0.120896379,3462.915861
71,4619,0.007791783,0.006930549,14845,0.033269111,0.032887606,21556,0.122099639,0.128372275,0.163160533,0.168190429,3411.504535
72,29351,0.111204584,0.087000974,33469,0.104229975,0.069470846,34818,0.203376917,0.221708681,0.418811476,0.378180501,4153.21503
73,55090,0.214747312,0.114785236,25341,0.089761165,0.056777807,49736,0.287835311,0.320787194,0.592343788,0.492350237,4656.677819
74,46425,0.135745471,0.111931213,39434,0.094724319,0.091212747,52837,0.3037172,0.339059241,0.53418699,0.542203201,4487.949681
75,19904,0.065505897,0.052558308,25944,0.074880116,0.075809786,62859,0.355196536,0.385449161,0.49558255,0.513817254,4375.948067
76,5028,0.010779792,0.00896913,20275,0.04459259,0.064896014,76308,0.433690816,0.481780573,0.489063198,0.555645718,4357.033716
77,13242,0.039535057,0.029741727,39315,0.109985777,0.114168076,71967,0.410530127,0.461733446,0.560050961,0.605643249,4562.987852
78,39885,0.1310532,0.095533953,14413,0.034003351,0.037287181,58891,0.336646781,0.378251225,0.501703332,0.51107236,4393.706064
79,26616,0.074033521,0.077701853,20051,0.053523033,0.051241763,57312,0.327576771,0.366596986,0.455133325,0.495540602,4258.594248
80,37980,0.101005488,0.125267386,34056,0.11554791,0.091181335,51054,0.292271425,0.326186048,0.508824823,0.542634769,4414.367379
81,42064,0.116226377,0.106066612,30220,0.094780966,0.081161641,48353,0.276553347,0.310446607,0.48756069,0.49767486,4352.674545
82,36380,0.092188984,0.085516824,37688,0.111117559,0.11155128,47691,0.269608823,0.301199894,0.472915366,0.498267999,4310.184617
83,32201,0.092461488,0.074658909,31384,0.117782459,0.098481616,53083,0.302213739,0.337906626,0.512457686,0.511047151,4424.907267
84,17400,0.06777625,0.039587217,13444,0.042518784,0.045884378,56444,0.32373402,0.364344294,0.434029053,0.449815888,4197.365216
85,28238,0.100423613,0.071410391,31714,0.074423461,0.080270311,57824,0.32248055,0.349155485,0.497327624,0.500836187,4381.010987
86,17306,0.065715362,0.044123099,20953,0.042188278,0.059419895,59836,0.343401312,0.385912576,0.451304952,0.48945557,4247.487133
87,17811,0.061971646,0.07410583,6331,0.014573404,0.013060326,68261,0.389600895,0.439852864,0.466145946,0.527019021,4290.544753
88,12270,0.044807931,0.037662833,9561,0.03212668,0.034516556,67222,0.384026822,0.434279365,0.460961433,0.506458754,4275.50312
89,12112,0.041104409,0.035791536,13649,0.024408172,0.030990683,64293,0.367328999,0.415925216,0.432841581,0.482707435,4193.920046
90,17684,0.059783836,0.059247246,39961,0.047389294,0.063309861,50580,0.288638546,0.324623185,0.395811676,0.447180291,4086.486572
91,20103,0.060186594,0.216782428,19013,0.048442303,0.069499456,67351,0.380222846,0.421766424,0.488851743,0.708048308,4356.420231
92,33640,0.102649261,0.27432048,14254,0.01947488,0.045105828,69017,0.39435194,0.445382805,0.516476081,0.764809113,4436.565685
93,6654,0.015713207,0.013866474,22769,0.076139235,0.048939926,71262,0.407141344,0.460772644,0.498993786,0.523579044,4385.844959
94,5807,0.016853101,0.010161416,11772,0.030891783,0.025592561,77278,0.440570945,0.497929356,0.488315829,0.533683334,4354.865403
95,8375,0.021023555,0.024365165,33474,0.056469501,0.040132947,71646,0.40864516,0.461499821,0.486138216,0.525997933,4348.547577
