OKGETULSALD2_4,WAUECBSCHALLD1_UGPM_BEPM,CSWSGILLIAMLDLD01,NPPDNORFK_NLDBRPS_LOAD2,CSWSKNOXLEEUN3,SECIPRATT1LDPRATT_CITY,WAUEWATERPPLDLD6_UGPM_MRES,SPSDUVAL_2LD1,WFECRNGWOODLD2,WAUEWAUE_OTPLDLAKPRESTON_ERC
49.12580263,49.22689634,51.93538647,49.7630532,49.28565234,46.67643959,47.7170557,46.69508991,49.93883338,47.03511203
48.771223,51.46648651,51.40625977,51.97640465,48.84683116,46.59362722,49.67128202,45.92701624,49.70337314,48.92848501
49.07185687,53.99855842,51.64630319,54.47902878,49.1393944,47.11530125,51.96189232,45.61208446,50.12075133,51.17084049
50.8349,56.837,53.5293,57.2978,50.9755,48.9539,54.6919,46.5314,52.0019,53.8783
54.57788909,59.97261914,57.60719308,60.4314358,54.86711988,52.56331637,57.9109548,49.20514575,55.86628181,57.10802869
59.65972455,63.30390365,63.14456359,63.76602589,60.12548192,57.36326142,61.45525199,53.10981431,61.06748191,60.68136614
65.14964773,66.70626134,69.08415232,67.15950303,65.761628,62.51490076,65.10762318,57.46097572,66.66761605,64.36069551
70.1169,70.0551,74.3687,70.4698,70.7866,67.1794,68.6509,61.4742,71.7288,67.9084
73.77858009,73.16242868,78.12375998,73.49800829,74.38126971,70.65245588,71.82631883,64.48750678,75.46127531,71.05308414
75.94321632,75.58666139,80.20613585,75.8178543,76.40582865,72.76788962,74.20873504,66.32871402,77.66778671,73.38823795
76.56719438,76.82281341,80.6554438,76.94622316,76.89029827,73.49405354,75.33140873,66.94808924,78.29920476,74.47357277
75.6069,76.3659,79.5113,76.4,75.8647,72.7993,74.7276,66.2959,77.3064,73.8688
73.1593218,73.94663647,76.93519514,73.92474511,73.47608878,70.77949604,72.16411986,64.40888181,74.78126384,71.35773161
69.88386019,70.23853828,73.576118,70.18071942,70.33965348,68.04056762,68.34198285,61.66964212,71.37977124,67.62058208
66.58051848,66.15082096,70.20493186,66.05685902,67.18761643,65.31595538,64.19575442,58.54725638,67.89891801,63.56166651
64.0493,62.5927,67.5925,62.4421,64.7522,63.3391,60.66,55.5108,65.1357,60.0853
62.87160457,60.2412567,66.2920782,59.99201284,63.55958922,62.64653338,58.41704705,52.92927535,63.67746464,57.85445504
62.75441793,58.84503547,65.98649215,58.42870553,63.31181994,62.98715241,57.14027106,50.77139249,63.27296584,56.56673373
63.18612233,57.92044651,66.14096002,57.24092046,63.50489069,63.91294524,56.25080954,48.90578838,63.46130912,55.67839555
63.6551,56.9839,66.2207,55.9174,63.6348,64.9759,55.1698,47.2011,63.7816,54.6457
63.74366618,55.68008204,65.80192644,54.10003636,63.30029651,65.79861887,53.48663414,45.57907458,63.8516229,53.07926385
63.40986809,54.16678232,64.90483841,52.04332097,62.51112926,66.28616022,51.46372042,44.17390042,63.60387789,51.20713301
62.70568596,52.73006644,63.66063118,50.1548951,61.37979738,66.41419646,49.53172149,43.17287604,63.04954393,49.41171067
61.6831,51.656,62.2005,48.8424,60.0188,66.1584,48.1213,42.7633,62.1998,48.0754
60.40895415,51.10474484,60.65651918,48.34652612,58.54331378,65.51682082,47.4983414,43.05527943,61.08296407,47.43197704
