time,num_0,CPU_usage_0,RAM_usage_0,num_1,CPU_usage_1,RAM_usage_1,num_2,CPU_usage_2,RAM_usage_2
0,10501.0,380.53353479997907,227.5369691999965,15343.0,707.5289929999973,285.8507379699695,539.0,25.26500399999992,17.941354299999986
1,4189.0,96.38799949999749,70.31660387999786,8345.0,239.0509019999913,105.40440300000252,835.0,25.789141999999917,18.591987600000067
2,8715.0,230.07975200000175,213.40133816002322,11223.0,413.1970315000181,198.60963296999495,651.0,32.79183999999994,19.795204300000105
3,7825.0,156.66480439999626,141.66994897999496,18702.0,981.8242919999536,349.3384909999842,747.0,26.878969000000062,14.248619400000138
4,14549.0,396.5469533999807,667.9314821799899,10705.0,195.67967899999698,176.10366497001357,655.0,39.486132699999914,27.69845060000008
5,12596.0,406.7189503000002,202.55516900002783,13200.0,519.6636030000417,246.9535560000091,357.0,14.453963999999983,8.220693799999978
6,7824.0,133.82116900000037,141.96748319999855,5678.0,158.75754620000117,122.60612997000408,487.0,23.756766099999908,9.317117779999924
7,12783.0,305.09117559998384,263.1414801999957,4568.0,324.3913423000046,123.2344270000041,436.0,22.579078699999926,9.489047599999939
8,9039.0,320.94748170001606,185.95330700001827,10671.0,916.5296949998778,222.63913497001354,349.0,12.425600100000008,4.599642399999999
9,25027.0,1059.9107835001553,689.8952912399067,4010.0,60.99618800000011,192.3215629999991,1492.0,19.191173199999415,24.94276236000034
10,7797.0,128.0779376000063,178.72121944002396,13236.0,392.44028949988206,240.59331097003445,835.0,24.3219479999998,36.90393159999997
11,24984.0,735.2083516001188,650.7301259999297,31731.0,1622.5837630000117,3274.5328570011084,715.0,24.058602999999845,31.649318899999983
12,16084.0,528.5304656000111,390.02362759999977,5895.0,402.8779780000007,168.64288297000678,545.0,13.631691999999951,23.98839119999995
13,6797.0,178.67033790000545,138.121975800002,6762.0,303.74977499998806,137.51182400000184,488.0,12.858811000000012,17.50782579999993
14,7058.0,242.20534529999682,177.78075640000787,7007.0,185.79148420001493,212.50357397002992,409.0,19.4177009999999,6.897141199999949
15,38485.0,1286.5764690004687,1076.8321581999937,26741.0,1135.241627299611,673.5093379996681,539.0,23.80704199999988,10.139931199999962
16,13031.0,590.7793366000078,369.87627140002525,14270.0,489.17894900005365,348.4939819699698,293.0,11.212890999999988,6.146792699999978
17,12570.0,439.7112522000129,804.9100718000564,5732.0,246.89757099998988,125.2234960000011,633.0,24.182992999999907,13.980143400000037
18,10216.0,377.13875799998203,522.528771000025,8616.0,370.7986032000354,155.1820969699996,515.0,21.600607999999877,7.9443509999999895
19,7318.0,160.08159000000364,147.802452799996,6766.0,245.17716830000052,123.82644700000506,675.0,47.37458700000028,12.064374999999949
20,9788.0,247.35485610003448,344.71271119999847,2392.0,96.69286500000176,56.39310497000051,913.0,59.2697044,14.558386399999971
21,46861.0,1484.9786154008325,1178.2208496002575,31019.0,1335.055524999583,972.1337800003887,610.0,66.82228910000022,17.51677497999995
22,25194.0,665.8792342001612,478.3561366998611,4164.0,122.25637019999881,71.3444459700024,755.0,44.8741524000005,13.840774100000047
23,30317.0,786.7106044000958,555.7764847998478,12989.0,716.6728782999936,351.69751599995357,692.0,40.64180610000047,13.397134800000023
24,10512.0,240.90959659997924,193.37744459999166,4014.0,186.9829530000022,135.78307896999956,589.0,40.084367400000055,11.462663099999977
25,25204.0,728.3152709001102,538.286873999853,9111.0,668.7940089999584,328.79699799998986,472.0,34.19571000000007,17.905213400000026
26,32785.0,999.1702529004668,743.8158961997168,10998.0,319.3773095000129,266.57116296996594,1299.0,80.57881639999923,43.2698896000001
27,10031.0,237.91656389999483,169.60585739999573,3436.0,139.93936760000096,128.78768499999967,556.0,25.841744900000045,10.118131100000065
28,9005.0,223.26578159999582,174.43552240000784,4561.0,172.82254149999403,107.29216797000153,404.0,17.59911499999994,8.736000999999966
29,10071.0,173.395082800001,156.19783600000846,5463.0,214.5311070000005,198.78255600000665,291.0,13.240442999999976,9.012005000000004
30,9065.0,298.75938040001,130.76785360000738,2964.0,182.76822420000283,77.87437396999927,415.0,19.419089399999933,5.854508200000009
31,21139.0,754.3006572000479,460.7838933999225,21506.0,774.6718482998785,743.5428530000273,763.0,49.81851399999976,29.01154170000012
32,51892.0,1796.5193753006688,1446.125337200645,29504.0,1291.2644080000719,1045.6868959697579,360.0,17.25725819999998,10.07968339999998
33,18452.0,763.3618507001049,392.42486839995,20930.0,1064.2246150000544,385.54598099983616,511.0,24.695509100000017,11.3229596
34,3940.0,110.48189249999697,60.221867399997805,17545.0,214.8553994999964,170.9814339700006,1209.0,46.46192210000087,16.635070400000057
35,38466.0,1097.7839216004377,758.0792157999307,32438.0,1104.883315299293,966.3743140002313,531.0,25.321839999999977,9.717420599999917
36,19250.0,524.988344299922,437.12828819991506,17055.0,886.544104799947,1650.696397970243,329.0,15.960731799999975,11.538271399999987
37,43950.0,1255.1791303002776,955.7161019999414,24684.0,1401.352895999695,2136.4054554002814,279.0,12.311367999999991,7.072611599999974
38,25552.0,1002.8348264001772,575.3969847998909,10649.0,398.6786462000244,265.7052599700191,304.0,14.095301999999986,7.389095399999974
39,21660.0,535.1765700999339,436.2996791999141,19394.0,573.4313993000333,522.1460569998899,625.0,31.250092000000098,13.08317560000001
40,10949.0,330.17373299999315,218.43311440001796,13722.0,350.63747399997953,306.9810619699587,641.0,29.364267899999984,7.5293498999999615
41,9952.0,300.61961820000874,115.27998746109479,15702.0,404.29532700000726,374.76562299990724,788.0,39.68852600000005,19.46285260000003
42,6351.0,128.375343900001,94.17199359999465,10969.0,221.38404350000746,222.31413766997866,601.0,30.43825600000005,14.001841399999968
43,16657.0,531.5774864000085,432.12295098329713,36419.0,1970.443612299151,3416.571575000772,689.0,34.034090100000164,10.053388599999897
44,28990.0,534.1643749998669,627.7969465999188,7865.0,498.34957070000496,181.91095197001118,387.0,19.921483399999975,15.112355400000006
45,16761.0,529.8332514999977,355.62168579998297,6017.0,285.8730419999933,102.75748900000148,470.0,23.35677140000001,10.942308400000016
46,10163.0,284.75436439999544,251.38699280001237,2939.0,204.5337401999928,64.88460097000198,833.0,41.223747000000344,11.929890799999933
47,10059.0,142.0122356000062,162.25966399999575,7045.0,233.2834395999727,133.64350199998427,628.0,28.23093570000004,8.663626599999963
48,15436.0,370.9758258999401,312.6077910611193,7993.0,342.59050969998725,108.54004996999822,420.0,19.493087699999954,7.632608399999998
