1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
16.60341761,16.68761328,13.93429222,16.92671802,17.15948354,17.48826674,17.43148689,17.43148689,17.12241779,17.74055598,19.90742022,16.65392088,17.27849169,24.62151624,8.480608436,9.697302291,3.199241829,4.56410679,11.39165359,12.8439547,5.791537432,4.776184215,13.63611895,10.52696708
16.9382925,17.00102654,14.94953212,17.17918303,17.35261619,17.59759195,17.55532829,17.55528538,17.32499857,17.78557219,19.16200432,17.21401679,17.62979757,22.06838439,10.88600244,13.44482289,2.35525249,4.559856444,14.37233967,15.16735405,6.542469028,4.90241541,15.60099826,12.41074047
16.19454983,16.2397056,14.76304599,16.36794212,16.49277879,16.66911162,16.63870851,16.63865948,16.47289971,16.80441924,17.60463438,16.583552,16.84314841,19.21161528,11.83812935,15.00219613,2.020050346,4.557339085,15.40178101,15.74428233,6.839136943,4.95159176,15.93110124,12.93563127
14.64856489,14.67964654,13.66323131,14.76791438,14.85384204,14.97521555,14.95428536,14.95425471,14.84015885,15.06835057,15.47368115,15.06179709,15.21018609,16.20948611,11.64995094,14.8373649,2.084077779,4.556188896,14.90776069,14.96809995,6.779372158,4.940314048,15.00101227,12.40538412
12.57671301,12.59684544,11.93848559,12.65401892,12.70967661,12.78829354,12.77471663,12.77471663,12.70081364,12.84861963,13.00751538,12.94802267,13.02255245,13.22027411,10.63442902,13.41827206,2.437777172,4.556040064,13.3180618,13.23216729,6.461005652,4.885183058,13.18531574,11.12374368
10.25536947,10.26729836,9.877206305,10.30117485,10.3341532,10.38073538,10.37266013,10.37269078,10.3289017,10.41647986,10.44450784,10.54149935,10.57188936,10.40225648,9.10452537,11.21286048,2.971590907,4.556526773,11.0604674,10.92984477,5.981868403,4.802799575,10.85859606,9.394454594
7.960909584,7.967001375,7.767790952,7.984301267,8.001142498,8.024930876,8.020773659,8.020822696,7.998460688,8.043184703,8.023029256,8.141497727,8.149838686,7.913710446,7.373201789,8.68907303,3.575961369,4.557283209,8.562760586,8.454492777,5.439791392,4.709764381,8.395437609,7.521261518
5.96970866,5.971950565,5.89863702,5.978317282,5.984515202,5.993269816,5.991715014,5.991757921,5.983528241,5.999987601,5.981450393,6.047288409,6.048042278,5.912913214,5.753420068,6.31485258,4.141330939,4.557943556,6.252724425,6.199471721,4.932605598,4.622678262,6.170424792,5.807909102
4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142,4.558142
3.913777837,3.912772064,3.9456623,3.9099158,3.907135262,3.90320773,3.903965687,3.903886003,3.907578037,3.900193969,3.90924113,3.878242758,3.878056777,3.941849173,4.01081015,3.753865655,4.748140415,4.55759196,3.782766081,3.807537874,4.386230677,4.527983884,3.821049761,3.986365046
3.868956116,3.867838379,3.904389991,3.864664153,3.861574083,3.857209334,3.858110222,3.857963113,3.862066148,3.853860078,3.861950045,3.831429568,3.830813789,3.89318772,3.976790168,3.704873894,4.758285963,4.556323799,3.734228205,3.759389042,4.374698103,4.524942222,3.773113135,3.949623809
4.167209712,4.16653888,4.188476062,4.164633805,4.162779238,4.160159646,4.160753021,4.160612042,4.16307456,4.158149523,4.161237314,4.146454969,4.145717282,4.175485782,4.231928477,4.080998561,4.666841905,4.554447114,4.096129601,4.109099064,4.453369853,4.536982823,4.116173317,4.215624043
4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715,4.5520715
4.809633938,4.81022151,4.791007057,4.811890138,4.813514526,4.815808987,4.815124653,4.815412741,4.813255857,4.817569625,4.820387151,4.822290635,4.824086798,4.821963918,4.752947727,4.846824377,4.478598631,4.54949874,4.841339549,4.836638267,4.613259602,4.560515443,4.834073931,4.76722854
4.896227828,4.897123537,4.867832533,4.899667235,4.902143494,4.90564123,4.904497783,4.905037182,4.901749173,4.908325191,4.915982735,4.912159585,4.915597965,4.926945688,4.809813918,4.92958815,4.456489674,4.547799352,4.92595707,4.922844716,4.629914652,4.561987364,4.921147068,4.831583954
